epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3354,1.81042,2.24724,2.17632,0.55681,0.51991,0.44379,0.19001,2.30901,2.28637,2.5521,0.0701829,0.00331301,0.00331301
2,61.0507,1.55775,1.4386,1.88097,0.51253,0.48689,0.38172,0.19129,2.1803,2.12314,2.37697,0.0401825,0.00664594,0.00664594
3,89.7085,1.59864,1.5439,1.92845,0.34361,0.32349,0.21539,0.08026,2.67568,3.35309,3.26485,0.0101805,0.00997724,0.00997724
4,117.97,1.68671,1.71737,2.02324,0.48133,0.46756,0.34581,0.15199,2.2315,2.94528,2.65251,0.0099945,0.0099945,0.0099945
5,146.196,1.65586,1.69316,2.00426,0.50366,0.37629,0.35061,0.15768,2.54427,2.62154,2.92356,0.00999023,0.00999023,0.00999023
6,174.476,1.61204,1.63964,1.96701,0.60781,0.5651,0.48793,0.25954,2.05332,1.92178,2.41328,0.00998474,0.00998474,0.00998474
7,202.805,1.58636,1.60677,1.93694,0.572,0.57405,0.44849,0.23624,2.02118,1.97816,2.38102,0.00997803,0.00997803,0.00997803
8,231.252,1.56709,1.56427,1.92991,0.5941,0.61387,0.45454,0.25964,1.79282,2.07578,2.17867,0.00997011,0.00997011,0.00997011
9,259.58,1.52155,1.48612,1.88839,0.59208,0.59163,0.46306,0.23882,2.09462,2.03334,2.47004,0.00996097,0.00996097,0.00996097
10,288.107,1.50358,1.47662,1.86374,0.56943,0.57752,0.45264,0.19824,2.29798,2.25252,2.67749,0.00995062,0.00995062,0.00995062
11,316.469,1.48457,1.44582,1.85539,0.63251,0.60537,0.50226,0.3063,1.74556,1.81095,2.17611,0.00993906,0.00993906,0.00993906
12,344.793,1.45934,1.41797,1.83638,0.60039,0.60635,0.46547,0.24843,1.97752,1.88152,2.36282,0.00992629,0.00992629,0.00992629
13,373.154,1.44226,1.39561,1.81779,0.59314,0.59105,0.46114,0.26754,1.86973,1.95308,2.30141,0.00991232,0.00991232,0.00991232
14,401.489,1.44062,1.39799,1.81409,0.61294,0.60864,0.48557,0.30776,1.67929,1.81796,2.10199,0.00989715,0.00989715,0.00989715
15,429.793,1.42693,1.36665,1.79189,0.66437,0.63848,0.51884,0.2875,1.92694,1.7895,2.30429,0.00988079,0.00988079,0.00988079
16,458.162,1.41004,1.35866,1.78393,0.64684,0.6255,0.49291,0.29144,1.78719,1.82633,2.19688,0.00986323,0.00986323,0.00986323
17,486.456,1.39679,1.3219,1.77097,0.64803,0.63266,0.49673,0.2893,1.81685,1.85773,2.20888,0.00984449,0.00984449,0.00984449
18,514.804,1.39738,1.3326,1.76439,0.66343,0.63445,0.51267,0.30421,1.76164,1.80129,2.17362,0.00982456,0.00982456,0.00982456
19,543.09,1.37672,1.31661,1.75923,0.66999,0.62819,0.51047,0.29747,1.79977,1.78336,2.21829,0.00980345,0.00980345,0.00980345
20,571.399,1.35881,1.28451,1.74127,0.65031,0.654,0.50712,0.31224,1.63444,1.80333,2.03552,0.00978118,0.00978118,0.00978118
21,599.86,1.36815,1.28472,1.74008,0.65192,0.63535,0.51404,0.31169,1.76894,1.78501,2.17206,0.00975773,0.00975773,0.00975773
22,628.162,1.34237,1.26054,1.72537,0.66652,0.64877,0.50954,0.319,1.64117,1.77027,2.07469,0.00973312,0.00973312,0.00973312
23,656.5,1.33781,1.28248,1.72141,0.67304,0.64472,0.52107,0.33331,1.65669,1.71031,2.09826,0.00970736,0.00970736,0.00970736
24,684.984,1.34489,1.25884,1.72062,0.67749,0.64196,0.53105,0.33275,1.68914,1.67788,2.13678,0.00968045,0.00968045,0.00968045
25,713.309,1.33349,1.2628,1.71973,0.67688,0.6519,0.52545,0.35204,1.53735,1.68355,2.05429,0.00965239,0.00965239,0.00965239
26,741.682,1.33263,1.25253,1.71661,0.66608,0.6435,0.56259,0.37374,1.65252,1.63478,2.08665,0.0096232,0.0096232,0.0096232
27,769.974,1.31336,1.22003,1.6904,0.69093,0.65615,0.52691,0.33367,1.63917,1.68462,2.05279,0.00959289,0.00959289,0.00959289
28,798.265,1.30896,1.21123,1.69094,0.67125,0.63132,0.56858,0.36393,1.72587,1.63366,2.19501,0.00956145,0.00956145,0.00956145
29,826.593,1.31795,1.22226,1.70501,0.66864,0.63982,0.5523,0.36247,1.62684,1.6465,2.09715,0.00952889,0.00952889,0.00952889
30,854.992,1.29686,1.20475,1.68171,0.67469,0.65049,0.53172,0.34388,1.60954,1.69221,2.08619,0.00949524,0.00949524,0.00949524
31,883.199,1.27605,1.16951,1.65691,0.69923,0.64519,0.5682,0.38774,1.55828,1.58911,2.03109,0.00946048,0.00946048,0.00946048
32,911.426,1.28974,1.18195,1.66995,0.67716,0.66264,0.52659,0.34636,1.52333,1.67188,1.99782,0.00942464,0.00942464,0.00942464
33,939.699,1.28133,1.19043,1.67354,0.69468,0.64295,0.56247,0.37273,1.63711,1.62923,2.08322,0.00938772,0.00938772,0.00938772
34,968.05,1.29395,1.19168,1.67047,0.68814,0.64161,0.52818,0.34731,1.5924,1.6913,2.06016,0.00934973,0.00934973,0.00934973
35,996.394,1.27664,1.16957,1.66268,0.6828,0.66398,0.5574,0.37644,1.56602,1.68411,2.00454,0.00931067,0.00931067,0.00931067
36,1024.79,1.27071,1.17384,1.66127,0.68412,0.63803,0.54431,0.37048,1.51872,1.65848,1.98548,0.00927057,0.00927057,0.00927057
37,1053.11,1.25391,1.16178,1.64663,0.68739,0.65101,0.54881,0.36903,1.53862,1.62974,1.99904,0.00922942,0.00922942,0.00922942
38,1081.43,1.26567,1.15506,1.65585,0.68971,0.65638,0.54607,0.3711,1.53499,1.62286,2.01571,0.00918725,0.00918725,0.00918725
39,1109.74,1.25469,1.13316,1.62878,0.69888,0.65817,0.55749,0.37289,1.56042,1.61742,2.05281,0.00914405,0.00914405,0.00914405
40,1138.16,1.25034,1.12049,1.63893,0.67908,0.67695,0.56344,0.37102,1.58465,1.58199,2.00912,0.00909984,0.00909984,0.00909984
41,1166.48,1.23922,1.12898,1.62449,0.68335,0.6759,0.5531,0.38516,1.49467,1.64171,1.95091,0.00905463,0.00905463,0.00905463
42,1194.86,1.24637,1.14336,1.63596,0.69796,0.65235,0.56733,0.37278,1.61172,1.66837,2.05822,0.00900844,0.00900844,0.00900844
43,1223.2,1.2439,1.13571,1.63685,0.68818,0.66667,0.56226,0.37434,1.54544,1.57436,1.96736,0.00896127,0.00896127,0.00896127
44,1251.47,1.21746,1.09613,1.60442,0.68761,0.64251,0.57527,0.40343,1.48595,1.54175,1.95596,0.00891313,0.00891313,0.00891313
45,1279.78,1.23407,1.10842,1.62914,0.68357,0.67466,0.54928,0.36658,1.51609,1.57136,1.93994,0.00886404,0.00886404,0.00886404
46,1308.08,1.21548,1.08429,1.61124,0.78133,0.62729,0.64214,0.44533,1.54519,1.46751,1.98837,0.00881401,0.00881401,0.00881401
